2025-04-22 05:31:34.350 [info] Extension host with pid 14834 started
2025-04-22 05:31:34.446 [info] Eager extensions activated
2025-04-22 05:31:34.473 [info] Lock '/home/ubuntu/.vscode-server/data/User/workspaceStorage/96e98dcbef73eaf387b0f8282b3ddff9/vscode.lock': Lock acquired.
2025-04-22 05:31:37.478 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2025-04-22 05:31:37.480 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2025-04-22 05:31:37.480 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: false, activationEvent: '*', root cause: vscode.git
2025-04-22 05:31:37.480 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2025-04-22 05:31:37.481 [info] ExtensionService#_doActivateExtension GitHub.copilot, startup: false, activationEvent: 'onStartupFinished'
2025-04-22 05:31:37.482 [info] ExtensionService#_doActivateExtension GitHub.copilot-chat, startup: false, activationEvent: 'onStartupFinished'
2025-04-22 05:31:39.732 [info] ExtensionService#_doActivateExtension vscode.git, startup: false, activationEvent: '*'
2025-04-22 05:31:39.733 [info] ExtensionService#_doActivateExtension vscode.github, startup: false, activationEvent: '*'
2025-04-22 06:04:47.969 [info] ExtensionService#_doActivateExtension vscode.npm, startup: false, activationEvent: 'onTerminalQuickFixRequest:ms-vscode.npm-command'
2025-04-22 06:04:53.803 [info] ExtensionService#_doActivateExtension vscode.configuration-editing, startup: false, activationEvent: 'onLanguage:json'
2025-04-22 06:04:53.804 [info] ExtensionService#_doActivateExtension vscode.extension-editing, startup: false, activationEvent: 'onLanguage:json'
2025-04-22 06:04:53.804 [info] ExtensionService#_doActivateExtension vscode.json-language-features, startup: false, activationEvent: 'onLanguage:json'
